"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Jane_Hunt"	"Jane Hunt"	1812
"http://dbpedia.org/resource/Giulia_Molino_Colombini"	"Giulia Molino Colombini"	1812
"http://dbpedia.org/resource/Harriet_Jacobs"	"Harriet Jacobs"	1813
"http://dbpedia.org/resource/Jane_Elizabeth_Jones"	"Jane Elizabeth Jones"	1813
"http://dbpedia.org/resource/Táhirih"	"Táhirih"	1814
"http://dbpedia.org/resource/Lucinda_Hinsdale_Stone"	"Lucinda Hinsdale Stone"	1814
"http://dbpedia.org/resource/Priscilla_Bright_McLaren"	"Priscilla Bright McLaren"	1815
"http://dbpedia.org/resource/Pálné_Veres"	"Pálné Veres"	1815
"http://dbpedia.org/resource/Elizabeth_Cady_Stanton"	"Elizabeth Cady Stanton"	1815
"http://dbpedia.org/resource/Louise_Crombach"	"Louise Crombach"	1815
"http://dbpedia.org/resource/Vilhelmine_Ullmann"	"Vilhelmine Ullmann"	1816
"http://dbpedia.org/resource/Pancha_Carrasco"	"Pancha Carrasco"	1816
"http://dbpedia.org/resource/Lucy_Stone"	"Lucy Stone"	1818
"http://dbpedia.org/resource/Amelia_Bloomer"	"Amelia Bloomer"	1818
"http://dbpedia.org/resource/Margaret_Bright_Lucas"	"Margaret Bright Lucas"	1818
"http://dbpedia.org/resource/Helen_Macfarlane"	"Helen Macfarlane"	1818
"http://dbpedia.org/resource/Julia_Ward_Howe"	"Julia Ward Howe"	1819
"http://dbpedia.org/resource/Ottilie_Assing"	"Ottilie Assing"	1819
"http://dbpedia.org/resource/Eliza_Pratt_Greatorex"	"Eliza Pratt Greatorex"	1819
"http://dbpedia.org/resource/Lydia_Pinkham"	"Lydia Pinkham"	1819
"http://dbpedia.org/resource/Concepción_Arenal"	"Concepción Arenal"	1820
"http://dbpedia.org/resource/Matilda_Hays"	"Matilda Hays"	1820
"http://dbpedia.org/resource/Susan_B._Anthony"	"Susan B. Anthony"	1820
"http://dbpedia.org/resource/Mary_Livermore"	"Mary Livermore"	1820
"http://dbpedia.org/resource/Friedrich_Engels"	"Friedrich Engels"	1820
"http://dbpedia.org/resource/Mary_Müller"	"Mary Müller"	1820
"http://dbpedia.org/resource/Anne_Brontë"	"Anne Brontë"	1820
"http://dbpedia.org/resource/Florence_Nightingale"	"Florence Nightingale"	1820
"http://dbpedia.org/resource/Elizabeth_Blackwell"	"Elizabeth Blackwell"	1821
"http://dbpedia.org/resource/Mary_Lee_(suffragette)"	"Mary Lee (suffragette)"	1821
"http://dbpedia.org/resource/Isabella_Beecher_Hooker"	"Isabella Beecher Hooker"	1822
"http://dbpedia.org/resource/Sophia_Dobson_Collet"	"Sophia Dobson Collet"	1822
"http://dbpedia.org/resource/Rosalie_Olivecrona"	"Rosalie Olivecrona"	1823
"http://dbpedia.org/resource/Thomas_Wentworth_Higginson"	"Thomas Wentworth Higginson"	1823
"http://dbpedia.org/resource/Line_Luplau"	"Line Luplau"	1823
"http://dbpedia.org/resource/Sophie_Adlersparre"	"Sophie Adlersparre"	1823
"http://dbpedia.org/resource/Anna_Mary_Howitt"	"Anna Mary Howitt"	1824
"http://dbpedia.org/resource/Antoinette_Brown_Blackwell"	"Antoinette Brown Blackwell"	1825
"http://dbpedia.org/resource/Henry_Browne_Blackwell"	"Henry Browne Blackwell"	1825
"http://dbpedia.org/resource/Harriet_Hanson_Robinson"	"Harriet Hanson Robinson"	1825
"http://dbpedia.org/resource/Matilda_Joslyn_Gage"	"Matilda Joslyn Gage"	1826
"http://dbpedia.org/resource/Adelaïde_Ehrnrooth"	"Adelaïde Ehrnrooth"	1826
"http://dbpedia.org/resource/Marie_Goegg-Pouchoulin"	"Marie Goegg-Pouchoulin"	1826
"http://dbpedia.org/resource/Sarah_Parker_Remond"	"Sarah Parker Remond"	1826
"http://dbpedia.org/resource/Lois_Waisbrooker"	"Lois Waisbrooker"	1826
"http://dbpedia.org/resource/Barbara_Bodichon"	"Barbara Bodichon"	1827
"http://dbpedia.org/resource/Catherine_Winkworth"	"Catherine Winkworth"	1827
"http://dbpedia.org/resource/Jyotirao_Phule"	"Jyotirao Phule"	1827
"http://dbpedia.org/resource/Lydia_Becker"	"Lydia Becker"	1827
"http://dbpedia.org/resource/Jane_Arthur"	"Jane Arthur"	1827
"http://dbpedia.org/resource/Louise_Flodin"	"Louise Flodin"	1828
"http://dbpedia.org/resource/Maria_Deraismes"	"Maria Deraismes"	1828
"http://dbpedia.org/resource/Milica_Stojadinović-Srpkinja"	"Milica Stojadinović-Srpkinja"	1828
"http://dbpedia.org/resource/Dora_d'Istria"	"Dora d'Istria"	1828
"http://dbpedia.org/resource/Bessie_Rayner_Parkes"	"Bessie Rayner Parkes"	1829
