"fk_personne","nom","annee_nais","fk_uni","universite"
http://www.wikidata.org/entity/Q96151265,Shawné Michaelain Holloway,1991,http://www.wikidata.org/entity/Q4247132,Shimer College
http://www.wikidata.org/entity/Q94579971,Shokoufeh Yadollahi,1969,http://www.wikidata.org/entity/Q2001798,Shiraz University
http://www.wikidata.org/entity/Q6780609,Mary Ritter Beard,1876,http://www.wikidata.org/entity/Q7502221,Shortridge High School
http://www.wikidata.org/entity/Q698795,Huang Qi,1963,http://www.wikidata.org/entity/Q2281517,Sichuan University
http://www.wikidata.org/entity/Q15525083,Morris Dees,1936,http://www.wikidata.org/entity/Q6663814,Sidney Lanier High School
http://www.wikidata.org/entity/Q16843606,Laci Green,1989,http://www.wikidata.org/entity/Q7511366,Sierra College
http://www.wikidata.org/entity/Q16926160,Gail Levin,1948,http://www.wikidata.org/entity/Q14437811,Simmons University
http://www.wikidata.org/entity/Q54818588,Frances Wasserlein,1946,http://www.wikidata.org/entity/Q201603,Simon Fraser University
http://www.wikidata.org/entity/Q149499,Karim Alrawi,1952,http://www.wikidata.org/entity/Q201603,Simon Fraser University
http://www.wikidata.org/entity/Q16734583,Alejandro Plaz,1955,http://www.wikidata.org/entity/Q2093477,Simón Bolívar University
http://www.wikidata.org/entity/Q7295324,Rasul Bux Palejo,1930,http://www.wikidata.org/entity/Q7522163,Sindh Madressatul Islam University
http://www.wikidata.org/entity/Q57316094,Lydie Neufcourt,1955,http://www.wikidata.org/entity/Q50825390,Sint-Bernarduscollege Oudenaarde
http://www.wikidata.org/entity/Q20985226,Raffi Freedman-Gurspan,1987,http://www.wikidata.org/entity/Q7536119,Skogfjorden
http://www.wikidata.org/entity/Q5438583,Favianna Rodriguez,1978,http://www.wikidata.org/entity/Q7537910,Skyline High School
http://www.wikidata.org/entity/Q282787,Derek Jarman,1942,http://www.wikidata.org/entity/Q1399299,Slade School of Fine Art
http://www.wikidata.org/entity/Q18528534,Leonora Philipps,1862,http://www.wikidata.org/entity/Q1399299,Slade School of Fine Art
http://www.wikidata.org/entity/Q266185,Natalie Zemon Davis,1928,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q231178,Gloria Steinem,1934,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q20740610,Rosalyn Baxandall,1939,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q16017428,Fran Hosken,1919,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q5363102,Elizabeth Lapovsky Kennedy,1939,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q5460648,Florence Howe,1929,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q5702853,Helen Milliken,1922,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q27710537,Louisa Fast,1878,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q28648839,Ruth DeYoung Kohler,1906,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q234604,Betty Friedan,1921,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q458994,Yolanda King,1955,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q16196396,Rea Carey,1966,http://www.wikidata.org/entity/Q49204,Smith College
