item,itemLabel,year,genre,genreLabel
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,1827,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q99383415,Martha McWhirter,1827,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18762034,Margaret Parker,1827,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q225863,Josephine Butler,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2939984,Caroline de Barrau,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55886359,Antonie Schrötter von Kristelli,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q110060222,Marie von Hombergk zu Vach,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q27468360,Mary Chase Walker,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16060020,Mary Birdsall,1828,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4896496,Bessie Rayner Parkes,1829,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q95456722,Anna Veronika Mikšíčková,1829,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q102958766,Sarah Jane Kirk,1829,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q107082,Mary Harris Jones,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q38786,Mathilde Fibiger,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q66502,Lina Morgenstern,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q24242263,Harriet Jemima Winifred Clisby,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q41338497,Gerharda Matthijssen,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2748528,Emily Davies,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55907398,Sidonie Kohen,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q110348313,Sigþrúður Friðriksdóttir,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q88216283,Eliza Wright Osborne,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q65164698,Socorro Sánchez del Rosario,1830,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q71491,Hedwig Dohm,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2941781,Catharina van Rees,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q28922613,Anna Houry,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q88211310,Marie Mineur,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18721964,Isa Knox,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19756134,Henriette Frederica Bosscha,1831,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4750322,Ana Betancourt,1832,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2418031,Mary Edwards Walker,1832,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q8201100,Antonia Tarragó,1832,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q99601893,Céleste Hardouin,1832,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q113489143,Ida Schmidt-Zabierow,1832,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4935550,Ellen Anckarsvärd,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q43400824,Barbare Jorjadze,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q6548258,Lillie Devereux Blake,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5045142,Caroline M. Nichols Churchill,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2406076,Betsy Perk,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q15881199,Reinoudina de Goeje,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q7422061,Sarah Anne Curzon,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q94733019,Auguste von Littrow,1833,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2178531,Mariane van Hogendorp,1834,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18603370,Anna Wolterbeek,1834,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18671143,Emily Carpenter,1834,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q61062488,Charlotte Klein,1834,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19059794,Maria Scheltema,1834,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4947472,Emily Faithfull,1835,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2172619,Codien Zwaardemaker-Visscher,1835,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q7088941,Olympia Brown,1835,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5722165,Henry Grattan Guinness,1835,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q3498121,Stella Blandy,1835,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16551944,Emma Julia Hohenemser,1835,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q39064459,Karolīne Kronvalde,1836,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q6762879,Marie Howland,1836,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2934216,Jeltje de Bosch Kemper,1836,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3271709,Léonie de Waha,1836,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16062917,Mary Ann Colclough,1836,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q191016,Fredrik Bajer,1837,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q4767002,Anna Filosofova,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q12336461,Sophie Petersen,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q21537256,Eliza Pottie,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18528711,Louisa Mallet,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q98324697,Emily Josephine Leonard,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18086799,Henry Richard Fox Bourne,1837,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q18964089,Jutta Bojsen-Møller,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19755816,Estella Hijmans-Hertzveld,1837,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q260378,Victoria Woodhull,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q29877791,Eliza Archard Conner,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5920798,Isabel Muñoz-Caravaca,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q15635054,Isabelle Bogelot,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q15699735,Maria Flechtenmacher,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55855268,Jeanette Lott,1838,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3100584,August Vandekerkhove,1838,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q2831927,Albion W. Tourgée,1838,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q563536,Anna Vorwerk,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q87555,Marianne Hainisch,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2019499,Mina Kruseman,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2091245,Helena Mercier,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2407913,Isabelle Gatti de Gamond,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55720283,Martha Schofield,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3185909,Josephine Brawley Hughes,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3372612,Paule Mink,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16737718,Kalliopē A. Kechagia,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q111039063,Florestine Mauriceau,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q63443317,Susan H. Wixon,1839,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4951333,Sofia Gumaelius,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5503264,Christine de Bosch Kemper,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q12326428,Matilde Bajer,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55188201,Margarita Pérez de Celis,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q55854334,Ida Ladenburg,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1237820,Ion Hanford Perdicaris,1840,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q16030556,Helen Bright Clark,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q110132814,Charlotte Carmichael Stopes,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18539981,Cornelia Emilian,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1435129,Ottilie von Hansemann,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19606974,Caroline Kauffmann,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19629438,Draga Dejanović,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19900613,Céline Renooz,1840,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q526994,Mathilde Blind,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q543970,Lilli Suburg,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q75202,Minna Cauer,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q451495,Elfrida Andrée,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1812225,Anna van Hogendorp,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q14100643,Piet Meuleman,1841,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q21070127,Alwina Gossauer,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3132460,Henriette Dachsbeck,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16663053,Marie Catherine Rogissart,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16058886,Eliska Vincent,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q125536673,Elizabeth Rhŷs,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18756630,Clara Pater,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19059778,Elise Haighton,1841,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q463046,Phoebe Hearst,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q119262,Caroline Farner,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4953287,Rosina Heikel,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2551409,Isala Van Diest,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q97038384,Aikaterini Laskaridou,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q66124267,Mariana Osório de Castro,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q121363651,Marie Auspitz,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18819413,Eliza Sturge,1842,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q56248379,Frances Murray,1843,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q99662674,Camilla Vedøe,1843,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5556933,Poul Georg Andræ,1843,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q18353451,Emilie de Morsier,1843,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q78144591,Linda Slaughter,1843,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19059740,Hendrina Commelin,1843,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1255008,Guiomar Torrezão,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q51775,Harriet Williams Russell Strong,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5408602,Eugénie Potonié-Pierre,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q21294794,Maria Pognon,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q10327831,May Wright Sewall,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q11860057,Fredrika Wetterhoff,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3292687,Marie Maugeret,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q16030139,Mary Jane Cain,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q60644803,Johanne Münter,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q94752297,Marie von Leyden,1844,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q543726,Mercedes Cabello,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4948816,Kirstine Frederiksen,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1515768,Gertrude Guillaume-Schack,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1670063,Maria Glocker,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q30302781,Gisèle d'Estoc,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q34538025,Jessie Turnbull,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q6077680,Isabel Le Brun,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4957496,Erna Juel-Hansen,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2522770,Louise Frederike Wijnaendts,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q62079539,Anna Laursen,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q62080580,Jaquette Liljencrantz,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q7916642,Vasile Stroiescu,1845,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q94998065,Anna Schneider,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q98284587,Ida Baumann,1845,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q291676,Amalie Skram,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q42562581,Élisabeth Renaud,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1668858,Marian Farquharson,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q6004729,Trinidad María Enríquez,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q27862845,Emma Coradi-Stahl,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2627259,Marie Popelin,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q21536193,Lauretta Caroline Maria Luffman,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q22247981,Marie-Rose Astié de Valsayre,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q110322640,Sofia Rein,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q19660748,Jeanne Schmahl,1846,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q464318,Annie Besant,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q266912,Gina Krog,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q274171,Eliška Krásnohorská,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q442818,Millicent Garrett Fawcett,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q455072,Kate Sheppard,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q47091499,Blanche Lefebvre,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q26430570,Ida Sträuli-Knüsli,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1672973,Irma Troll-Borostyáni,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q2064966,Mietje Rutgers-Hoitsema,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q7367933,Rose Scott,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4956090,Charlotte Jacobs,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q7563964,Soteria Aliberty,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1334902,Ottilie Baader,1847,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q541929,Louisa Lawson,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q75209,Helene Lange,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q4955185,Cornélie Huygens,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q448953,Hubertine Auclert,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q5920798,Isabel Muñoz-Caravaca,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q6499284,Laura Ormiston Chant,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q12326083,Marie Luplau,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q3189268,Julie Siegfried,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1247033,Ottama,1848,http://www.wikidata.org/entity/Q6581097,male
http://www.wikidata.org/entity/Q17421988,Marie de Villermont,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q18018159,Adele Zay,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q61884010,Ingeborg Tolderlund,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q112919225,Adèle Kassky,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1338076,Emma Paterson,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q98372459,Karoline Blondein,1848,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q238443,Ellen Key,1849,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q243068,Anne Charlotte Leffler,1849,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1744240,Laura Kieler,1849,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q62080055,Frida Schmidt,1849,http://www.wikidata.org/entity/Q6581072,female
http://www.wikidata.org/entity/Q1395828,Henrietta Edwards,1849,http://www.wikidata.org/entity/Q6581072,female
