"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1831,http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888)
1831,http://www.wikidata.org/entity/Q109535,Zutphen,Point(6.195 52.14)
1831,http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
1831,http://www.wikidata.org/entity/Q202954,Verviers,Point(5.85 50.583333333)
1831,http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
1832,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0)
1832,http://www.wikidata.org/entity/Q3806,Tübingen,Point(9.055555555 48.52)
1832,http://www.wikidata.org/entity/Q115329,Camagüey,Point(-77.918611111 21.378611111)
1832,http://www.wikidata.org/entity/Q1138781,Bréhémont,Point(0.355555555 47.295)
1832,http://www.wikidata.org/entity/Q7108221,Oswego,Point(-76.5511 43.4167)
1833,http://www.wikidata.org/entity/Q2256,Birmingham,Point(-1.9025 52.48)
1833,http://www.wikidata.org/entity/Q2364582,Kistauri,Point(45.2875 41.9925)
1833,http://www.wikidata.org/entity/Q690,Delft,Point(4.359166666 52.011666666)
1833,http://www.wikidata.org/entity/Q2478279,Lippenhuizen,Point(6.0936 53.0169)
1833,http://www.wikidata.org/entity/Q41087,Raleigh,Point(-78.64 35.78)
1833,http://www.wikidata.org/entity/Q10526665,The Royal Court Parish,Point(18.072725 59.326538888)
1833,http://www.wikidata.org/entity/Q386338,Whitby,Point(-78.942222222 43.88)
1833,http://www.wikidata.org/entity/Q386626,Pickering,Point(-79.130833333 43.906944444)
1834,http://www.wikidata.org/entity/Q11025,Semarang,Point(110.4225 -6.99)
1834,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
1834,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1834,http://www.wikidata.org/entity/Q26881,Helsingør,Point(12.6106 56.036)
1835,http://www.wikidata.org/entity/Q7237961,Prairie Ronde Township,Point(-85.7025 42.108611111)
1835,http://www.wikidata.org/entity/Q803,Utrecht,Point(5.121666666 52.090833333)
1835,http://www.wikidata.org/entity/Q2177281,Headley,Point(-0.271 51.277)
1835,http://www.wikidata.org/entity/Q2119,Mannheim,Point(8.466111111 49.487777777)
1835,http://www.wikidata.org/entity/Q1152867,Montesquieu-Volvestre,Point(1.229722222 43.207777777)
1836,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
1836,http://www.wikidata.org/entity/Q3448357,"Rue Hors-Château, Liège",Point(5.57939 50.6473)
1836,http://www.wikidata.org/entity/Q6447622,Kurzeme Region,Point(22.0 57.0)
1836,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1837,http://www.wikidata.org/entity/Q1019126,Store Heddinge,Point(12.3869 55.3086)
1837,http://www.wikidata.org/entity/Q1348,Kolkata,Point(88.3638815 22.5726723)
1837,http://www.wikidata.org/entity/Q104536747,Vester Egede,Point(11.9649 55.2653)
1837,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
1837,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
1837,http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
1837,http://www.wikidata.org/entity/Q54220,Meriden,Point(-72.794722222 41.536666666)
1837,http://www.wikidata.org/entity/Q10686,Belfast,Point(-5.93 54.596388888)
1837,http://www.wikidata.org/entity/Q885808,Blue Mountains,Point(-76.66666667 18.1)
1838,http://www.wikidata.org/entity/Q19660,Bucharest,Point(26.097777777 44.413361111)
1838,http://www.wikidata.org/entity/Q485582,Clermont County,Point(-84.15 39.05)
1838,http://www.wikidata.org/entity/Q8021198,Williamsfield,Point(-80.5706 41.5333)
1838,http://www.wikidata.org/entity/Q2845753,former 2nd arrondissement of Paris,Point(2.340506 48.872674)
1838,http://www.wikidata.org/entity/Q2807,Madrid,Point(-3.703333333 40.416944444)
1838,http://www.wikidata.org/entity/Q12833513,Homer,Point(-82.519 40.2527)
1839,http://www.wikidata.org/entity/Q1189434,Dennis Port,Point(-70.1367 41.6639)
1839,http://www.wikidata.org/entity/Q40738,Bursa,Point(29.080538888 40.191330555)
1839,http://www.wikidata.org/entity/Q154531,Newtown Township,Point(-74.936111111 40.229722222)
1839,http://www.wikidata.org/entity/Q486450,Baden,Point(16.234444444 48.0075)
1839,http://www.wikidata.org/entity/Q39596,Königslutter am Elm,Point(10.816666666 52.25)
1839,http://www.wikidata.org/entity/Q428144,Mézières-en-Drouais,Point(1.425277777 48.723888888)
1839,http://www.wikidata.org/entity/Q15149909,former 12th arrondissement of Paris,Point(2.344583 48.846206)
1839,http://www.wikidata.org/entity/Q2375289,Velp,Point(5.9758 51.9947)
1839,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
