"generations","lieu_naissance","geo_coord","effectif"
"1826-1850",Deptford,Point(-0.0265 51.478),1
"1826-1850",Honfleur,Point(0.233055555 49.418888888),1
"1826-1850",Edinburgh,Point(-3.189166666 55.953333333),2
"1826-1850",Kistauri,Point(45.2875 41.9925),1
"1826-1850",Velp,Point(5.9758 51.9947),1
"1826-1850","5th arrondissement of Paris",Point(2.344444444 48.847222222),1
"1826-1850",Overschie,Point(4.42944 51.935),1
"1826-1850",City of Brussels,Point(4.351666666 50.846666666),1
"1826-1850",Eaubonne,Point(2.279722222 48.991388888),1
"1826-1850",Lippenhuizen,Point(6.0936 53.0169),1
"1826-1850",Liverpool,Point(-2.991944444 53.4075),1
"1826-1850",Leeuwarden,Point(5.783333333 53.2),1
"1826-1850",Örebro,Point(15.196522467 59.266926001),1
"1826-1850",Tromsø Municipality,Point(18.95701 69.64961),1
"1826-1850",Bergen,Point(5.323333333 60.3925),1
"1826-1850",Helsingør,Point(12.6106 56.036),1
"1826-1850",Hillerød,Point(12.3 55.933333333),1
"1826-1850",Brunswick,Point(10.521111111 52.269166666),1
"1826-1850",Saint Clair,Point(-90.982777777 38.349722222),1
"1826-1850",Svendborg,Point(10.61 55.059722222),1
"1826-1850",Madrid,Point(-3.703333333 40.416944444),2
"1826-1850",former 2nd arrondissement of Paris,Point(2.340506 48.872674),1
"1826-1850",Oldenburg,Point(8.213888888 53.143888888),1
"1826-1850",Chile,Point(-71.0 -33.0),1
"1826-1850",Edgbaston,Point(-1.919047222 52.45805),1
"1826-1850",Koblenz,Point(7.597777777 50.359722222),1
"1826-1850",Cicero,Point(-76.130277777 43.134722222),1
"1826-1850",Haarlemmerliede,Point(4.6875 52.3881),1
"1826-1850",Cieszyn,Point(18.633333333 49.75),1
"1826-1850",New South Wales,Point(147.0 -32.0),1
"1826-1850",Montreal,Point(-73.561666666 45.508888888),1
"1826-1850","Rue Hors-Château, Liège",Point(5.57939 50.6473),1
"1826-1850",Rõusa,Point(25.115833333 58.673888888),1
"1826-1850",Santo Domingo,Point(-69.893333333 18.476388888),1
"1826-1850",Cologne,Point(6.957777777 50.942222222),1
"1826-1850",The Hague,Point(4.31 52.08),3
"1826-1850",Cork,Point(-8.473055555 51.9),1
"1826-1850",Nastola,Point(25.9300785 60.9477434),1
"1826-1850","Griesgasse 4, Salzburg",Point(13.04036 47.80094),1
"1826-1850",Tübingen,Point(9.055555555 48.52),1
"1826-1850",Mezzano,Point(12.08632 44.46625),1
"1826-1850",Mezzano,Point(12.086619833 44.46636),1
"1826-1850",Whitby,Point(-78.942222222 43.88),1
"1826-1850",Pickering,Point(-79.130833333 43.906944444),1
"1826-1850",Königslutter am Elm,Point(10.816666666 52.25),1
"1826-1850",Liège,Point(5.570555555 50.639722222),1
"1826-1850",Buffalo,Point(-78.878055555 42.886388888),1
"1826-1850",Bursa,Point(29.080538888 40.191330555),1
"1826-1850",Nancy,Point(6.183611111 48.692777777),1
"1826-1850",Raleigh,Point(-78.64 35.78),1
"1826-1850",Q41205171,Point(11.3319 55.3936),1
"1826-1850",Clermont-Ferrand,Point(3.086944444 45.779722222),1
"1826-1850",Mézières-en-Drouais,Point(1.425277777 48.723888888),2
"1826-1850",Cincinnati,Point(-84.5125 39.1),1
"1826-1850",Lyon,Point(4.841388888 45.758888888),1
"1826-1850",Jelsa,Point(6.034277777 59.335527777),1
"1826-1850",Rochdale,Point(-2.161 53.6136),1
"1826-1850",Buldhana,Point(76.183333333 20.533333333),1
"1826-1850",Clermont County,Point(-84.15 39.05),1
"1826-1850",Baden,Point(16.234444444 48.0075),1
"1826-1850",Inderøy Municipality,Point(11.22 63.899444444),1
"1826-1850",Rijswijk,Point(4.33 52.045555555),1
"1826-1850",West Meon,Point(-1.087730555 51.011919444),1
"1826-1850",Methuen,Point(-71.191388888 42.726111111),1
"1826-1850",Meriden,Point(-72.794722222 41.536666666),1
"1826-1850",Fuglsang Manor,Point(11.7977 54.7219),1
"1826-1850",Glendale,Point(-2.105 55.595083),1
"1826-1850",Cusco,Point(-71.983333 -13.522222),1
"1826-1850",Précy-sous-Thil,Point(4.312222222 47.386944444),1
"1826-1850",Q58814313,Point(15.989869444 59.513219444),1
"1826-1850",Harderwijk,Point(5.617222222 52.350555555),1
"1826-1850",Lisbon,Point(-9.139016 38.708042),2
"1826-1850",Mudgee,Point(149.5872222 -32.6125),1
"1826-1850",New York City,Point(-74.0 40.7),1
"1826-1850",Middelfart,Point(9.730555555 55.505833333),1
"1826-1850",Le Lude,Point(0.153055555 47.645),1
"1826-1850",Vernier,Point(6.1 46.2),1
"1826-1850",Berlin,Point(13.383333333 52.516666666),1
"1826-1850",Kurzeme Region,Point(22.0 57.0),1
"1826-1850",Lille,Point(3.0575 50.631944444),1
"1826-1850",Dozwil,Point(9.316388888 47.566666666),1
"1826-1850",Saint Petersburg,Point(30.316666666 59.95),1
"1826-1850",Bad Cannstatt,Point(9.2141 48.8056),1
"1826-1850",Stettfurt,Point(8.955555555 47.526111111),1
"1826-1850",Warwickshire,Point(-1.58600847 52.333500566),1
"1826-1850",Rapperswil,Point(8.82228 47.22557),1
"1826-1850",Delft,Point(4.359166666 52.011666666),1
"1826-1850",Rønne,Point(14.7 55.1),1
"1826-1850",Ebensee,Point(13.77315 47.81224),1
"1826-1850",Geneva,Point(6.15 46.2),2
"1826-1850",Oswego,Point(-76.5511 43.4167),1
"1826-1850",Lorient,Point(-3.366388888 47.745833333),1
"1826-1850",Prairie Ronde Township,Point(-85.7025 42.108611111),1
"1826-1850",Amsterdam,Point(4.893611111 52.372777777),5
"1826-1850",Kirkkonummi,Point(24.438888888 60.123611111),1
"1826-1850",Saint-Priest-en-Murat,Point(2.912222222 46.349444444),1
"1826-1850",Sartana,Point(37.695361111 47.170777777),1
"1826-1850",Uszyce,Point(18.345555555 51.110555555),1
"1826-1850",Southampton,Point(-1.404444444 50.906666666),1
"1826-1850",Williamsfield,Point(-80.5706 41.5333),1
"1826-1850",Utrecht,Point(5.121666666 52.090833333),1
"1826-1850",Woolaston,Point(-2.6 51.7),1
"1826-1850",Sibiu,Point(24.15 45.8),1
"1826-1850",London,Point(-0.1275 51.507222222),3
"1826-1850",Kanjiža,Point(20.05 46.066666666),1
"1826-1850",Blue Mountains,Point(-76.66666667 18.1),1
"1826-1850",Brussels metropolitan area,Point(4.3525 50.846666666),1
"1826-1850",Seloncourt,Point(6.858333333 47.460555555),1
"1826-1850",Winterthur,Point(8.72671 47.4992),1
"1826-1850",Neufmanil,Point(4.795277777 49.810277777),1
"1826-1850",Luneray,Point(0.913055555 49.828611111),1
"1826-1850",São Julião,Point(-8.894722222 38.533888888),1
"1826-1850",São Julião,Point(-8.89631 38.53487),1
"1826-1850",Nykøbing Falster,Point(11.883333333 54.766666666),1
"1851-1875",Deventer,Point(6.2 52.25),1
"1851-1875",Finale Emilia,Point(11.29574 44.83185),1
"1851-1875",Patna district,Point(85.166666666 25.416666666),1
"1851-1875",Rhenen,Point(5.5689 51.9597),1
"1851-1875",Ośno Lubuskie,Point(14.876944444 52.455277777),1
"1851-1875",Vlissingen,Point(3.583333333 51.45),1
"1851-1875",Wisbech,Point(0.160311111 52.664161111),1
"1851-1875",Williamstown,Point(144.885 -37.861),1
"1851-1875",Chrastava,Point(14.968948444 50.816985939),1
"1851-1875",Nykøbing Mors,Point(8.8622 56.7981),1
"1851-1875",Stuttgart,Point(9.18 48.7775),1
"1851-1875",Ripon,Point(-88.839722222 43.845),1
"1851-1875",Juigalpa,Point(-85.368941666 12.108566666),1
"1851-1875",Almería,Point(-2.4675 36.84),1
"1851-1875",Hamar Municipality,Point(11.0783 60.79451),1
"1851-1875",Stærrede,Point(11.4722 55.2251),1
"1851-1875",Falkenberg,Point(12.489519444 56.902097222),1
"1851-1875",Finnish church parish,Point(18.072222222 59.325555555),1
"1851-1875",Q10509913,Point(13.1 56.14972222),1
"1851-1875",Hedvig Eleonora parish,Point(18.08112778 59.33560278),2
"1851-1875",Karlskrona city community,Point(15.588055555 56.161111111),2
"1851-1875",Klara Church Parish,Point(18.061666666 59.331111111),1
"1851-1875",Hamburg,Point(10.0 53.55),1
"1851-1875",Lösen parish,Point(15.688444444 56.196944444),1
"1851-1875",Norrköping,Point(16.188858333 58.590022222),1
"1851-1875",Vandborg,Point(8.1748 56.5461),1
"1851-1875",Belfast,Point(-5.93 54.596388888),1
"1851-1875",Q10686408,Point(17.081666666 58.819722222),1
"1851-1875",Q10707844,Point(15.0196 59.2863),1
"1851-1875",Varbergs,Point(12.250591666 57.105991666),1
"1851-1875",Fredrikstad Municipality,Point(10.95 59.216667),1
"1851-1875",Q10718075,Point(16.466638888 59.577416666),1
"1851-1875",Quiapo,Point(120.983 14.6),1
"1851-1875",Prague,Point(14.421388888 50.0875),2
"1851-1875",Orange,Point(-74.2357 40.768),1
"1851-1875",Sillerup,Point(9.2172 54.6784),1
"1851-1875",Voss,Point(6.423056 60.7025),1
"1851-1875",Horten Municipality,Point(10.432780555 59.420830555),1
"1851-1875",Kristiansund Municipality,Point(7.73198 63.11152),1
"1851-1875",Kołobrzeg,Point(15.576111111 54.176111111),1
"1851-1875",Steinkjer Municipality,Point(11.496944444 64.013055555),1
"1851-1875",Nesseby Municipality,Point(28.57113 70.16382),1
"1851-1875",Nesseby Municipality,Point(28.6 70.133333333),1
"1851-1875",Great Barrington,Point(-73.3625 42.1958),1
"1851-1875",Mumbai,Point(72.8775 19.075833333),1
"1851-1875",Kumenan,Point(133.960833333 34.929222222),1
"1851-1875",Băsești,Point(23.146224 47.480591),1
"1851-1875",Östersundom Manor,Point(25.193056 60.258611),1
"1851-1875",Batavia,Point(106.813222 -6.134836),2
"1851-1875",Kyoto Prefecture,Point(135.755583333 35.021027777),1
"1851-1875",Bow,Point(-0.0288 51.5298),1
"1851-1875",Portsea Island,Point(-1.07 50.8025),1
"1851-1875",Brahesborg,Point(9.95167 55.2803),1
"1851-1875",Christinelund,Point(12.0751 55.1191),1
"1851-1875",Drenderupgård,Point(9.35056 55.4069),1
"1851-1875",Orup,Point(12.0778 55.2081),1
"1851-1875",Devonport,Point(-4.172777777 50.3725),1
