item,itemLabel,year
http://www.wikidata.org/entity/Q2172619,Codien Zwaardemaker-Visscher,1835
http://www.wikidata.org/entity/Q3498121,Stella Blandy,1835
http://www.wikidata.org/entity/Q4947472,Emily Faithfull,1835
http://www.wikidata.org/entity/Q7088941,Olympia Brown,1835
http://www.wikidata.org/entity/Q16551944,Emma Julia Hohenemser,1835
http://www.wikidata.org/entity/Q2934216,Jeltje de Bosch Kemper,1836
http://www.wikidata.org/entity/Q3271709,Léonie de Waha,1836
http://www.wikidata.org/entity/Q39064459,Karolīne Kronvalde,1836
http://www.wikidata.org/entity/Q6762879,Marie Howland,1836
http://www.wikidata.org/entity/Q16062917,Mary Ann Colclough,1836
http://www.wikidata.org/entity/Q191016,Fredrik Bajer,1837
http://www.wikidata.org/entity/Q4767002,Anna Filosofova,1837
http://www.wikidata.org/entity/Q12336461,Sophie Petersen,1837
http://www.wikidata.org/entity/Q18528711,Louisa Mallet,1837
http://www.wikidata.org/entity/Q18964089,Jutta Bojsen-Møller,1837
http://www.wikidata.org/entity/Q19755816,Estella Hijmans-Hertzveld,1837
http://www.wikidata.org/entity/Q21537256,Eliza Pottie,1837
http://www.wikidata.org/entity/Q98324697,Emily Josephine Leonard,1837
http://www.wikidata.org/entity/Q260378,Victoria Woodhull,1838
http://www.wikidata.org/entity/Q3100584,August Vandekerkhove,1838
http://www.wikidata.org/entity/Q29877791,Eliza Archard Conner,1838
http://www.wikidata.org/entity/Q5920798,Isabel Muñoz-Caravaca,1838
http://www.wikidata.org/entity/Q55855268,Jeanette Lott,1838
http://www.wikidata.org/entity/Q15635054,Isabelle Bogelot,1838
http://www.wikidata.org/entity/Q15699735,Maria Flechtenmacher,1838
http://www.wikidata.org/entity/Q563536,Anna Vorwerk,1839
http://www.wikidata.org/entity/Q87555,Marianne Hainisch,1839
http://www.wikidata.org/entity/Q2407913,Isabelle Gatti de Gamond,1839
http://www.wikidata.org/entity/Q2019499,Mina Kruseman,1839
http://www.wikidata.org/entity/Q2091245,Helena Mercier,1839
http://www.wikidata.org/entity/Q3185909,Josephine Brawley Hughes,1839
http://www.wikidata.org/entity/Q3372612,Paule Mink,1839
http://www.wikidata.org/entity/Q111039063,Florestine Mauriceau,1839
http://www.wikidata.org/entity/Q55720283,Martha Schofield,1839
http://www.wikidata.org/entity/Q63443317,Susan H. Wixon,1839
http://www.wikidata.org/entity/Q16737718,Kalliopē A. Kechagia,1839
http://www.wikidata.org/entity/Q4951333,Sofia Gumaelius,1840
http://www.wikidata.org/entity/Q5503264,Christine de Bosch Kemper,1840
http://www.wikidata.org/entity/Q110132814,Charlotte Carmichael Stopes,1840
http://www.wikidata.org/entity/Q55188201,Margarita Pérez de Celis,1840
http://www.wikidata.org/entity/Q55854334,Ida Ladenburg,1840
http://www.wikidata.org/entity/Q12326428,Matilde Bajer,1840
http://www.wikidata.org/entity/Q18539981,Cornelia Emilian,1840
http://www.wikidata.org/entity/Q19606974,Caroline Kauffmann,1840
http://www.wikidata.org/entity/Q19629438,Draga Dejanović,1840
http://www.wikidata.org/entity/Q19900613,Céline Renooz,1840
http://www.wikidata.org/entity/Q1435129,Ottilie von Hansemann,1840
