occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q1021386,civil rights advocate,advocate for civil rights
http://www.wikidata.org/entity/Q12859263,orator,public speaker; for conference speaker use Q100742049
http://www.wikidata.org/entity/Q30242234,freedom fighter,person who takes part in a resistance movement against an oppressive political or social establishment
http://www.wikidata.org/entity/Q47004387,theosophist,practitioner of Theosophy
http://www.wikidata.org/entity/Q21507004,sex educator,profession involving facilitating people or partners to explore and understand their sexuality
http://www.wikidata.org/entity/Q15949613,short story writer,author or writer of short stories
http://www.wikidata.org/entity/Q2516866,publisher,person heading a publishing company or who publishes media
http://www.wikidata.org/entity/Q947873,television presenter,person who introduces or hosts television programs
http://www.wikidata.org/entity/Q1792450,art historian,humanist who is engaged in history of art
http://www.wikidata.org/entity/Q578109,television producer,occupation within video production for TV
http://www.wikidata.org/entity/Q5780518,communicator,occupation
http://www.wikidata.org/entity/Q8246794,blogger,person who writes or records a blog
http://www.wikidata.org/entity/Q17125263,YouTuber,person that produces videos on YouTube
http://www.wikidata.org/entity/Q19251029,media critic,critic of media in multiple formats
http://www.wikidata.org/entity/Q3621491,archaeologist,person studying human activity in the past
http://www.wikidata.org/entity/Q17488316,prehistorian,archaeologist who is engaged in prehistory
http://www.wikidata.org/entity/Q16533,judge,official who presides over court proceedings
http://www.wikidata.org/entity/Q185351,jurist,"legal scholar or academic, a professional who studies, teaches, and develops law"
http://www.wikidata.org/entity/Q901402,geographer,scholar whose area of study is geography
http://www.wikidata.org/entity/Q1734662,cartographer,person preparing geographical maps
http://www.wikidata.org/entity/Q9149093,mountaineer,person who climbs mountains
http://www.wikidata.org/entity/Q11900058,explorer,person who by means of travel searches out new information
http://www.wikidata.org/entity/Q1780490,communard,members and supporters of the short-lived 1871 Paris Commune
http://www.wikidata.org/entity/Q9379869,lecturer,"knowledgeable person who gives informative talks, as opposed to ceremonial or persuasive"
http://www.wikidata.org/entity/Q482980,author,"a writer of a book, article, or document (subclass : literary works: writer [Q36180])"
http://www.wikidata.org/entity/Q211346,psychiatrist,physician who specializes in psychiatry
http://www.wikidata.org/entity/Q4773904,anthropologist,person with an extensive knowledge of anthropology
http://www.wikidata.org/entity/Q3579035,travel writer,person who writes travel literature
http://www.wikidata.org/entity/Q593644,chemist,scientist trained in the study of chemistry
http://www.wikidata.org/entity/Q66035178,textile worker,person working in the textile industry or engaged in textile crafts
http://www.wikidata.org/entity/Q185196,midwife,medical professional wo practices obstetrics as a health science
http://www.wikidata.org/entity/Q10732476,art collector,person who collects art
http://www.wikidata.org/entity/Q205375,inventor,"person that devises a new device, method, composition, or process"
http://www.wikidata.org/entity/Q1238570,political scientist,expert in or student of political science
http://www.wikidata.org/entity/Q19509201,LGBTQI+ rights activist,"person campaigning in favour of, or otherwise an active supporter of LGBT rights issues"
http://www.wikidata.org/entity/Q483501,artist,person who engages in any form of artistic creation or practice
http://www.wikidata.org/entity/Q1028181,painter,artist who practices painting
http://www.wikidata.org/entity/Q7016454,new media artist,artist who primarily uses (new) media art in their work
http://www.wikidata.org/entity/Q10774753,performance artist,person who practices performance art (not to be confused with performing arts)
http://www.wikidata.org/entity/Q21550489,conceptual artist,artist involved with conceptual arts
http://www.wikidata.org/entity/Q186360,nurse,type of health care provider
http://www.wikidata.org/entity/Q16003550,pacifist,person commited to pacifism
http://www.wikidata.org/entity/Q158852,conductor,person who directs a musical group during a performance
http://www.wikidata.org/entity/Q765778,organist,musician who plays any type of organ
http://www.wikidata.org/entity/Q2526255,film director,person who directs a film
http://www.wikidata.org/entity/Q18510179,abolitionist,social activist seeking end of slavery
http://www.wikidata.org/entity/Q1420621,media proprietor,profession
http://www.wikidata.org/entity/Q2961975,business executive,"person responsible for running a business, or an aspect of it"
http://www.wikidata.org/entity/Q105434600,high civil servant,public official with executive rank and functions
http://www.wikidata.org/entity/Q61048378,climate activist,person who is intensively and perceptibly committed to preventing harmful climate change
http://www.wikidata.org/entity/Q8178443,librettist,author of the libretto (words) of an opera or a similar extended musical composition
http://www.wikidata.org/entity/Q462390,docent,person who teaches at universities and educational institutions
http://www.wikidata.org/entity/Q212980,psychologist,"professional who evaluates, diagnoses, treats, and studies behavior and mental processes"
http://www.wikidata.org/entity/Q115088092,international forum participant,participant in an international conference or forum
http://www.wikidata.org/entity/Q7458488,sex columnist,writer of a newspaper or magazine column about sex
http://www.wikidata.org/entity/Q2259451,stage actor,actor who performs live before an in-person audience
http://www.wikidata.org/entity/Q33231,photographer,person who takes photographs
http://www.wikidata.org/entity/Q662729,public figure,famous person who is often written about in newspapers and magazines or is often on television or the radio
http://www.wikidata.org/entity/Q1281618,sculptor,artist specializing in sculpture
http://www.wikidata.org/entity/Q24698392,anti-imperialist,person espousing anti-imperialism
http://www.wikidata.org/entity/Q59924426,oil painter,profession
http://www.wikidata.org/entity/Q15994177,political theorist,person who develops theories of politics
http://www.wikidata.org/entity/Q270389,news presenter,person who presents news during a news program
http://www.wikidata.org/entity/Q2722764,radio personality,person who has an on-air position in radio broadcasting
http://www.wikidata.org/entity/Q13590141,presenter,"person who hosts an event; for television presenters, use Q947873"
http://www.wikidata.org/entity/Q2462658,manager,person whose job is to manage something
http://www.wikidata.org/entity/Q1397808,resistance fighter,fighter of a resistance movement
http://www.wikidata.org/entity/Q10800557,film actor,actor who appears in films
http://www.wikidata.org/entity/Q1413170,bookbinder,person who physically creates and repairs books by attaching pages to a spine
http://www.wikidata.org/entity/Q3391743,visual artist,artist involved with the visual arts
http://www.wikidata.org/entity/Q15296811,drawer,person who makes drawings (artist/cartoonist/drafter/illustrator)
http://www.wikidata.org/entity/Q18074503,installation artist,artist specialized in installation art
http://www.wikidata.org/entity/Q639669,musician,"person who composes, conducts or performs music"
http://www.wikidata.org/entity/Q3580098,specialized educator,
http://www.wikidata.org/entity/Q121594,professor,academic title at universities and other education and research institutions
http://www.wikidata.org/entity/Q3410028,psychoanalyst,psychiatrist or psychotherapist who specializes in psychoanalysis
http://www.wikidata.org/entity/Q245068,comedian,"person who seeks to entertain an audience, primarily by making them laugh"
http://www.wikidata.org/entity/Q17505902,watercolorist,artist who works in watercolors
http://www.wikidata.org/entity/Q381353,woman of letters,cultivated and influential female writer
http://www.wikidata.org/entity/Q488111,pornographic actor,person who performs sex acts in pornographic films
http://www.wikidata.org/entity/Q14915751,prostitute,person who has sex for money
http://www.wikidata.org/entity/Q2095549,aircraft pilot,person controlling an aircraft in flight
http://www.wikidata.org/entity/Q11774156,memoirist,type of autobiographer
http://www.wikidata.org/entity/Q124153083,aviation writer,profession
http://www.wikidata.org/entity/Q81096,engineer,professional practitioner of engineering
http://www.wikidata.org/entity/Q82594,computer scientist,one who studies or practises computer science
http://www.wikidata.org/entity/Q3455803,director,director of a creative work
http://www.wikidata.org/entity/Q170790,mathematician,person with an extensive knowledge of mathematics
http://www.wikidata.org/entity/Q1326886,electrical engineer,professional practicioner of electrical engineering
http://www.wikidata.org/entity/Q15319501,social scientist,scientist working in the field of social sciences
http://www.wikidata.org/entity/Q18939491,diarist,person who writes a personal journal
http://www.wikidata.org/entity/Q43845,businessperson,person involved in activities for the purpose of generating revenue
http://www.wikidata.org/entity/Q3501317,fashion designer,one who designs clothing and related items
http://www.wikidata.org/entity/Q774306,surgeon,physician with surgical specialty
http://www.wikidata.org/entity/Q19842050,pediatric surgeon,medical profession
http://www.wikidata.org/entity/Q16145150,music teacher,profession and academic title
http://www.wikidata.org/entity/Q18805,naturalist,"person who studies and knows a lot about plants, animals and natural history (esp in the field)"
http://www.wikidata.org/entity/Q2083925,botanical collector,person who collects plants (or parts thereof) for scientific research
http://www.wikidata.org/entity/Q2374149,botanist,person who practices botany
http://www.wikidata.org/entity/Q994779,delegate,individual who speaks or acts on behalf of an organization
http://www.wikidata.org/entity/Q110954375,indigenous rights activist,advocate for indigenous rights
http://www.wikidata.org/entity/Q13570226,literary historian,humanist who is engaged in history of literature
http://www.wikidata.org/entity/Q113961864,comparative literature academic,
http://www.wikidata.org/entity/Q1051798,statutory auditor,profession
http://www.wikidata.org/entity/Q2920595,sexologist,specialist in sexology
http://www.wikidata.org/entity/Q12414919,terrorist,person who practises terrorism
http://www.wikidata.org/entity/Q8359428,social activist,activist focused on social issues
http://www.wikidata.org/entity/Q7019111,social worker,person who performs social work
http://www.wikidata.org/entity/Q15214752,cabaret performer,performing artist specialized in cabaret
http://www.wikidata.org/entity/Q18576582,metallurgist,person skilled in metallurgy
http://www.wikidata.org/entity/Q4610556,model,"person employed to display, advertise and promote products, or to serve as a visual aid"
http://www.wikidata.org/entity/Q5583669,goodwill ambassador,"honorific title, occupational position, and/or designation of a person who advocates for a specific cause or global issue on the basis of their notability"
http://www.wikidata.org/entity/Q22336956,humanitarian,person dedicated to the help of people
http://www.wikidata.org/entity/Q18930007,political philosopher,scholar of political philosophy
http://www.wikidata.org/entity/Q193391,diplomat,person appointed by a state to conduct diplomacy with another state or international organization
http://www.wikidata.org/entity/Q11063,astronomer,scientist who studies celestial bodies
http://www.wikidata.org/entity/Q58968,intellectual,person who engages in critical thinking and reasoning
http://www.wikidata.org/entity/Q191808,nun,member of a religious community of women
http://www.wikidata.org/entity/Q15924224,internist,physician with medical specialty internal medicine; is skilled in the management of patients who have undifferentiated or multi-system disease processes; cares for hospitalized and ambulatory patients
http://www.wikidata.org/entity/Q29887242,anti-vaccine activist,person who officially rejects the efficacy or safety of vaccines
http://www.wikidata.org/entity/Q3282637,film producer,person supervising the making of a film
http://www.wikidata.org/entity/Q15077007,podcaster,person who creates podcasts
http://www.wikidata.org/entity/Q191633,mangaka,person who creates manga
http://www.wikidata.org/entity/Q173950,art dealer,person that buys and sells works of art
http://www.wikidata.org/entity/Q11569986,printmaker,person who makes prints from plates or blocks
http://www.wikidata.org/entity/Q212948,partisan,member of a guerrilla movement
http://www.wikidata.org/entity/Q5716684,dancer,person who uses their body to express themselves through movement and dance
http://www.wikidata.org/entity/Q2865819,opera singer,singer who sings in operas
http://www.wikidata.org/entity/Q17391638,art theorist,profession that works in the field of art theory
http://www.wikidata.org/entity/Q16611574,social reformer,person who works towards social reform
http://www.wikidata.org/entity/Q20956402,cult leader,leader of a deviant or novel religious group
http://www.wikidata.org/entity/Q42909,reporter,journalist who collects and reports information on an event
http://www.wikidata.org/entity/Q808967,barrister,lawyer specialized in court representation in certain jurisdictions
http://www.wikidata.org/entity/Q2248623,scholar,medieval student or cleric
http://www.wikidata.org/entity/Q10429346,bibliographer,person who describes and lists books and other publications
http://www.wikidata.org/entity/Q17351648,newspaper editor,regular editor of a newspaper
http://www.wikidata.org/entity/Q20826540,scholar,someone who has great knowledge
http://www.wikidata.org/entity/Q63676514,educational theorist,specialist in the theory of education
http://www.wikidata.org/entity/Q64711780,spiritual leader,high officer of religious or spiritual movements
http://www.wikidata.org/entity/Q77844028,constitutionalist,expert in constitutional law
http://www.wikidata.org/entity/Q753110,songwriter,person who writes the words or music to songs
http://www.wikidata.org/entity/Q1415090,film score composer,musical profession
http://www.wikidata.org/entity/Q18533509,medical writer,profession
http://www.wikidata.org/entity/Q16308156,scholar of English,person who studies English language and literature
http://www.wikidata.org/entity/Q18930236,philosopher of language,
http://www.wikidata.org/entity/Q4479442,organizational founder,person who creates an institution intended to perpetuate itself after the founder's association ends
http://www.wikidata.org/entity/Q1328323,functionary,person with leadership position within an organization
http://www.wikidata.org/entity/Q3068305,salonnière,person who organizes or hosts a salon
http://www.wikidata.org/entity/Q635734,archivist,"professional who assesses, collects, organizes, preserves, maintains control over, and provides access to information determined to have long-term value"
http://www.wikidata.org/entity/Q8142883,criminologist,person engaged in the study of criminal behaviour
http://www.wikidata.org/entity/Q19829999,cultural studies scholar,profession
http://www.wikidata.org/entity/Q763779,Protestant reformer,occupation
http://www.wikidata.org/entity/Q152002,pastor,ordained leader of a Christian congregation
http://www.wikidata.org/entity/Q267640,independent scholar,scholar not associated with university
http://www.wikidata.org/entity/Q2059704,television director,person who directs television programs
http://www.wikidata.org/entity/Q1642960,pundit,someone who offers their opinion via mass media
http://www.wikidata.org/entity/Q24293741,anarcho-syndicalist,occupation
http://www.wikidata.org/entity/Q97621558,temperance worker,activist in the social movement against the consumption of alcohol
http://www.wikidata.org/entity/Q16267607,classical philologist,person studying ancient Greek or Latin texts
http://www.wikidata.org/entity/Q17488357,historian of religion,humanist who is engaged in history of religion
http://www.wikidata.org/entity/Q17010072,militant,violent activist
http://www.wikidata.org/entity/Q40468055,labor historian,historian of labor
