"fk_personne","personne","gender","zone_geo","annee_naissance","domaines","eff"
http://www.wikidata.org/entity/Q3311648,Michèle Le Dœuff,F,Europe,1948,"ecrivain_ne,enseignement,SHS,SHS,acti_droits_femmes",5
http://www.wikidata.org/entity/Q3296259,Mary White Ovington,F,Amérique du nord,1865,"ecrivain_ne,feministe,ecrivain_ne,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q3290739,Marguerite Thibert,F,Europe,1886,"SHS,SHS,politique,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q3286445,Manon Cormier,F,Europe,1896,"ecrivain_ne,droit,politique,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q3275661,Madeleine Guilbert,F,Europe,1910,"politique,SHS,SHS,acti_droits_femmes,SHS",5
http://www.wikidata.org/entity/Q3162122,Janusz Symonides,M,Europe,1938,"droit,droit,politique,acti_droits_humains,enseignement",5
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,F,Amérique du nord,1826,"ecrivain_ne,ecrivain_ne,ecrivain_ne,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q310586,Jesse Jackson,M,Amérique du nord,1941,"politique,religieux_ses,acti_droits_humains,acti_droits_humains,autre",5
http://www.wikidata.org/entity/Q30611296,Albertina Paraíso,F,Europe,1864,"ecrivain_ne,ecrivain_ne,ecrivain_ne,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q3045518,Déwé Gorodey,F,Europe,1949,"ecrivain_ne,ecrivain_ne,politique,ecrivain_ne,acti_droits_femmes",5
http://www.wikidata.org/entity/Q30274608,Anna Kalmanovich,F,Europe,1877,"ecrivain_ne,autre,politique,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q299627,Carole Pateman,F,Europe,1940,"SHS,enseignement,SHS,SHS,acti_droits_femmes",5
http://www.wikidata.org/entity/Q298437,Anna Easteden,F,Europe,1976,"cinema_TV,acti_droits_humains,autre,cinema_TV,cinema_TV",5
http://www.wikidata.org/entity/Q29576175,Jeanne Oddo-Deflou,F,Europe,1856,"ecrivain_ne,ecrivain_ne,enseignement,acti_droits_femmes,feministe",5
http://www.wikidata.org/entity/Q2941781,Catharina van Rees,F,Europe,1831,"ecrivain_ne,artiste,ecrivain_ne,ecrivain_ne,acti_droits_femmes",5
http://www.wikidata.org/entity/Q293284,Anna Lindhagen,F,Europe,1870,"politique,ecrivain_ne,autre,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q2915288,Susan Moller Okin,F,Océanie,1946,"ecrivain_ne,SHS,enseignement,SHS,acti_droits_femmes",5
http://www.wikidata.org/entity/Q29075128,Ofelia Machado Bonet,F,Amérique du sud,1908,"ecrivain_ne,enseignement,politique,acti_droits_femmes,SHS",5
http://www.wikidata.org/entity/Q28943751,Rose Cohen,F,Europe,1894,"politique,feministe,ecrivain_ne,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q289428,Ida B. Wells,F,Amérique du nord,1862,"ecrivain_ne,acti_droits_humains,ecrivain_ne,SHS,feministe",5
http://www.wikidata.org/entity/Q28918,Luce Irigaray,F,Europe,1930,"enseignement,SHS,SHS,SHS,acti_droits_femmes",5
http://www.wikidata.org/entity/Q28912455,Pamela Rendi-Wagner,F,Europe,1971,"sante,politique,autre,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q28605787,Iris Rachamimov,LGBTQ,Asie ,1964,"ecrivain_ne,enseignement,SHS,enseignement,acti_droits_LGBT",5
http://www.wikidata.org/entity/Q2845696,Anaïs Barbeau-Lavalette,F,Amérique du nord,1979,"ecrivain_ne,cinema_TV,ecrivain_ne,acti_droits_humains,cinema_TV",5
http://www.wikidata.org/entity/Q2832732,Alessandra Silvestri-Levy,F,Europe,1972,"ecrivain_ne,SHS,ecrivain_ne,acti_droits_humains,SHS",5
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,F,Europe,1819,"ecrivain_ne,ecrivain_ne,politique,ecrivain_ne,acti_droits_femmes",5
http://www.wikidata.org/entity/Q28136099,Yolanda Domínguez,F,Europe,1977,"artiste,artiste,autre,politique,acti_droits_femmes",5
http://www.wikidata.org/entity/Q28131966,Angelica Ross,LGBTQ,Amérique du nord,1980,"cinema_TV,autre,autre,autre,acti_droits_LGBT",5
http://www.wikidata.org/entity/Q28083528,Elena Urrutia,F,Amérique du sud,1932,"ecrivain_ne,SHS,ecrivain_ne,enseignement,acti_droits_femmes",5
http://www.wikidata.org/entity/Q28035030,Helen Hanson,F,Europe,1874,"sante,religieux_ses,feministe,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q27595496,Rita Myers,F,Amérique du nord,1947,"artiste,artiste,artiste,artiste,acti_droits_femmes",5
http://www.wikidata.org/entity/Q27517197,Su'ad al-Fatih al-Badawi,F,Afrique,1932,"ecrivain_ne,politique,acti_droits_humains,enseignement,ecrivain_ne",5
http://www.wikidata.org/entity/Q2748528,Emily Davies,F,Europe,1830,"ecrivain_ne,enseignement,ecrivain_ne,feministe,acti_droits_femmes",5
http://www.wikidata.org/entity/Q27452260,Rachel Bakam,F,Afrique,1982,"cinema_TV,ecrivain_ne,cinema_TV,cinema_TV,acti_droits_humains",5
http://www.wikidata.org/entity/Q27218377,Alda Heaton Wilson,F,Amérique du nord,1873,"sciences_experimentales,sciences_experimentales,feministe,sciences_experimentales,acti_droits_femmes",5
http://www.wikidata.org/entity/Q271931,Marilyn French,F,Amérique du nord,1929,"ecrivain_ne,ecrivain_ne,politique,acti_droits_femmes,feministe",5
http://www.wikidata.org/entity/Q270705,Adrienne Rich,F,Amérique du nord,1929,"ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_humains,acti_droits_femmes",5
http://www.wikidata.org/entity/Q26776728,Tatiana Nikonova,F,Europe,1978,"ecrivain_ne,autre,politique,enseignement,acti_droits_femmes",5
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,F,Amérique du nord,1819,"sciences_experimentales,sciences_experimentales,sciences_experimentales,sciences_experimentales,acti_droits_femmes",5
http://www.wikidata.org/entity/Q266664,Szymon Niemiec,M,Europe,1977,"politique,SHS,ecrivain_ne,religieux_ses,acti_droits_LGBT",5
http://www.wikidata.org/entity/Q266185,Natalie Zemon Davis,F,Amérique du nord,1928,"cinema_TV,ecrivain_ne,SHS,enseignement,acti_droits_femmes",5
http://www.wikidata.org/entity/Q265709,Xiao Qiang,M,Asie ,1961,"ecrivain_ne,sciences_experimentales,acti_droits_humains,ecrivain_ne,sciences_experimentales",5
http://www.wikidata.org/entity/Q26208095,Maria Bezobrazova,F,Europe,1857,"enseignement,SHS,ecrivain_ne,SHS,acti_droits_femmes",5
http://www.wikidata.org/entity/Q2620289,Olena Teliha,F,Europe,1906,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes",5
http://www.wikidata.org/entity/Q260879,John Howard Griffin,M,Amérique du nord,1920,"ecrivain_ne,acti_droits_humains,ecrivain_ne,ecrivain_ne,ecrivain_ne",5
http://www.wikidata.org/entity/Q2601872,Eva Brems,F,Europe,1969,"politique,droit,acti_droits_humains,enseignement,politique",5
